PhoneNumber,Name,City,State,Carrier,Type,SpamScore
+918385479861,Sunita Nair,Nashik,Maharashtra,Jio,Mobile,0
+918180417982,Savita Mitra,Ghaziabad,Uttar Pradesh,Vodafone Idea,Mobile,0
+919056624711,Shaurya Tripathi,Kanpur,Uttar Pradesh,Vodafone Idea,Mobile,0
+917813211524,Pavan Mukherjee,Ludhiana,Punjab,Vodafone Idea,Mobile,0
+918896346821,Rohan Desai,Udaipur,Rajasthan,Vodafone Idea,Mobile,0
+916176332859,Ravi Chauhan,Amritsar,Punjab,Vodafone Idea,Mobile,0
+918342528245,Aarav Singh,Mangalore,Karnataka,BSNL,Mobile,0
+917019938564,Atharv Reddy,Varanasi,Uttar Pradesh,Jio,Mobile,0
+918148327194,Lokesh Mathur,Shimla,Himachal Pradesh,Airtel,Mobile,0
+917283186247,Nikhil Chauhan,Coimbatore,Tamil Nadu,Jio,Mobile,0
+917522203793,Sushma Chauhan,Udaipur,Rajasthan,Vodafone Idea,Mobile,0
+917834250798,Rekha Shetty,Kanpur,Uttar Pradesh,Vodafone Idea,Mobile,0
+917873859417,Dinesh Vaghela,Bhopal,Madhya Pradesh,BSNL,Mobile,0
+918358437477,Rajeev Barua,Coimbatore,Tamil Nadu,Jio,Mobile,0
+918857092926,Kishan Mishra,Udaipur,Rajasthan,Airtel,Mobile,0
+918982196997,Simran Jadeja,Raipur,Chhattisgarh,Vodafone Idea,Mobile,0
+918351733637,Lakhan Kurup,Madurai,Tamil Nadu,Airtel,Mobile,0
+919644017324,Sapna Chopra,Aurangabad,Maharashtra,Jio,Mobile,0
+919980491281,Nitesh Patil,Kanpur,Uttar Pradesh,Airtel,Mobile,0
+918832105015,Rahul Tripathi,Coimbatore,Tamil Nadu,Jio,Mobile,0
+919768652680,Ishaan Rathore,Visakhapatnam,Andhra Pradesh,BSNL,Mobile,0
+916178504214,Reema Verma,Vadodara,Gujarat,Vodafone Idea,Mobile,0
+918115509668,Ansh Dey,Nagpur,Maharashtra,Jio,Mobile,0
+916056837930,Smita More,Lucknow,Uttar Pradesh,Jio,Mobile,0
+918595008591,Kavita Tomar,Madurai,Tamil Nadu,Jio,Mobile,0
+917936895126,Kunal Sen,Nagpur,Maharashtra,Jio,Mobile,0
+919680028324,Suresh Singhal,Aurangabad,Maharashtra,Vodafone Idea,Mobile,0
+918673153085,Asha Ahuja,Jaipur,Rajasthan,BSNL,Mobile,0
+918587958044,Sunanda Kumar,Jodhpur,Rajasthan,Jio,Mobile,0
+919797125228,Vikram Paul,Surat,Gujarat,Airtel,Mobile,0
+918411944370,Nikhil Tomar,Salem,Tamil Nadu,Jio,Mobile,0
+919917422742,Lakshmi Jain,Allahabad,Uttar Pradesh,Airtel,Mobile,0
+919694597543,Amita Rao,Vijayawada,Andhra Pradesh,Airtel,Mobile,0
+918998131390,Seema Bose,Dehradun,Uttarakhand,Jio,Mobile,0
+919855662076,Neha Khare,Faridabad,Haryana,Vodafone Idea,Mobile,0
+917457640444,Reshma Bisht,Hyderabad,Telangana,Jio,Mobile,0
+919323199394,Manoj Choudhary,Dehradun,Uttarakhand,BSNL,Mobile,0
+917978673745,Harish Mandal,Mangalore,Karnataka,Vodafone Idea,Mobile,0
+919222288206,Sarita Mukherjee,Jabalpur,Madhya Pradesh,Vodafone Idea,Mobile,0
+919779746304,Anvi Dar,Ahmedabad,Gujarat,BSNL,Mobile,0
+916366084309,Ramesh Mir,Lucknow,Uttar Pradesh,Vodafone Idea,Mobile,0
+918279907811,Sandeep Pawar,Bhubaneswar,Odisha,Vodafone Idea,Mobile,0
+916184771096,Harpreet Jain,Gurugram,Haryana,Jio,Mobile,0
+917095569399,Priya Rathore,Ludhiana,Punjab,Vodafone Idea,Mobile,0
+919672336485,Anjali Saikia,Jammu,Jammu & Kashmir,Jio,Mobile,0
+916361646236,Simran Tomar,Hyderabad,Telangana,Vodafone Idea,Mobile,0
+916216802638,Garima Jain,Tiruchirappalli,Tamil Nadu,Vodafone Idea,Mobile,0
+918354054681,Geeta Malhotra,Hyderabad,Telangana,BSNL,Mobile,0
+917725266690,Myra Kaul,Bhubaneswar,Odisha,BSNL,Mobile,0
+919546475486,Aditya Singh,Mangalore,Karnataka,Airtel,Mobile,0
+919548656386,Sunita Joshi,Lucknow,Uttar Pradesh,Airtel,Mobile,0
+919582062283,Sunita Shah,Faridabad,Haryana,Airtel,Mobile,0
+918176296953,Uma Kulkarni,Guwahati,Assam,Jio,Mobile,0
+917756197554,Neelam Chopra,Surat,Gujarat,Jio,Mobile,0
+918550641894,Paresh Mishra,Belgaum,Karnataka,Airtel,Mobile,0
+918842293296,Aarohi Sharma,Dehradun,Uttarakhand,Jio,Mobile,0
+919724117997,Lalita Mehra,Vadodara,Gujarat,Airtel,Mobile,0
+918473337462,Sunita Dubey,Surat,Gujarat,Jio,Mobile,0
+918494708131,Hitesh Pawar,Faridabad,Haryana,Airtel,Mobile,0
+918110292010,Sachin Negi,Tiruchirappalli,Tamil Nadu,Airtel,Mobile,0
+918886468133,Ravi Patil,Amritsar,Punjab,Jio,Mobile,0
+918799452333,Savita Raina,Indore,Madhya Pradesh,Airtel,Mobile,0
+919148179325,Bhavna More,Noida,Uttar Pradesh,Jio,Mobile,0
+916033372835,Jayesh Shekhawat,Ranchi,Jharkhand,Airtel,Mobile,0
+918099529360,Priya Rawat,Bhopal,Madhya Pradesh,BSNL,Mobile,0
+916171032881,Myra Saxena,Varanasi,Uttar Pradesh,Airtel,Mobile,0
+917537117773,Sanjiv Chopra,Mangalore,Karnataka,Vodafone Idea,Mobile,0
+919210855332,Manju Patel,Kanpur,Uttar Pradesh,BSNL,Mobile,0
+918262813901,Raman Bhatia,Ahmedabad,Gujarat,Jio,Mobile,0
+918498515390,Shravan Tomar,Kolkata,West Bengal,Vodafone Idea,Mobile,0
+918828938299,Vivaan Kurup,Bangalore,Karnataka,Jio,Mobile,0
+919911923853,Amanpreet Mandal,Shimla,Himachal Pradesh,Vodafone Idea,Mobile,0
+917467099866,Reema Sen,Hubli,Karnataka,BSNL,Mobile,0
+917991962464,Jyoti Barua,Delhi,Delhi,Vodafone Idea,Mobile,0
+919763009453,Kavita Shetty,Faridabad,Haryana,BSNL,Mobile,0
+919479609820,Lokesh Tandon,Chennai,Tamil Nadu,Jio,Mobile,0
+919693668264,Dhruv Iyer,Srinagar,Jammu & Kashmir,Airtel,Mobile,0
+917960070449,Simran Bhat,Surat,Gujarat,Vodafone Idea,Mobile,0
+917322469823,Reema Saxena,Bangalore,Karnataka,Vodafone Idea,Mobile,0
+917430299570,Aman Mathur,Chennai,Tamil Nadu,BSNL,Mobile,0
+916218554341,Amita Paul,Jodhpur,Rajasthan,Jio,Mobile,0
+917352721464,Poonam Mishra,Allahabad,Uttar Pradesh,Jio,Mobile,0
+917642291402,Tejinder Mathur,Chennai,Tamil Nadu,BSNL,Mobile,0
+918248785128,Sushma Mehra,Kolkata,West Bengal,Airtel,Mobile,0
+918754280909,Manpreet Pandey,Udaipur,Rajasthan,Airtel,Mobile,0
+919361707347,Vikram Bhatia,Gurugram,Haryana,Vodafone Idea,Mobile,0
+917976641467,Rajeev Sen,Jodhpur,Rajasthan,Airtel,Mobile,0
+918851307999,Kapil Rathore,Kochi,Kerala,Vodafone Idea,Mobile,0
+919695293248,Rajeev Kumar,Faridabad,Haryana,Vodafone Idea,Mobile,0
+918321649672,Rajeev Dutta,Agra,Uttar Pradesh,Vodafone Idea,Mobile,0
+918989257894,Arnav Mehta,Ahmedabad,Gujarat,Vodafone Idea,Mobile,0
+918073295390,Sai Mandal,Gurugram,Haryana,BSNL,Mobile,0
+917549255611,Tejinder Bhatia,Kochi,Kerala,Jio,Mobile,0
+918425335846,Myra Tandon,Aurangabad,Maharashtra,Jio,Mobile,0
+917147612461,Sunil Nair,Vadodara,Gujarat,Vodafone Idea,Mobile,0
+916342503218,Navpreet Kurup,Udaipur,Rajasthan,BSNL,Mobile,0
+917284467228,Sara Dey,Hyderabad,Telangana,Jio,Mobile,0
+919147726790,Sneha Raina,Udaipur,Rajasthan,Airtel,Mobile,0
+918195618549,Sumit More,Nashik,Maharashtra,BSNL,Mobile,0
+916369268066,Kabir Tripathi,Aurangabad,Maharashtra,Jio,Mobile,0
+917589480156,Padma Gupta,Varanasi,Uttar Pradesh,Vodafone Idea,Mobile,0
+917139564465,Swapna Mehra,Thane,Maharashtra,Vodafone Idea,Mobile,0
+919952018289,Archana Gogoi,Ghaziabad,Uttar Pradesh,Jio,Mobile,0
+919790492667,Ritesh Mukherjee,Nashik,Maharashtra,BSNL,Mobile,0
+917885171076,Navpreet Chopra,Pune,Maharashtra,Jio,Mobile,0
+918826633592,Manpreet Kurup,Mangalore,Karnataka,Vodafone Idea,Mobile,0
+919512945094,Aman Shinde,Bhopal,Madhya Pradesh,Airtel,Mobile,0
+918872786015,Anjali Patel,Gurugram,Haryana,Airtel,Mobile,0
+916129841921,Archana Shetty,Mysore,Karnataka,Vodafone Idea,Mobile,0
+918829041621,Deepak Pandey,Hyderabad,Telangana,Vodafone Idea,Mobile,0
+919542435809,Hitesh Tomar,Amritsar,Punjab,Vodafone Idea,Mobile,0
