PhoneNumber,Name,Location,Carrier,Type,SpamScore
+918717579289,Gaurav Thakur,Ahmedabad,Jio,Mobile,0
+917421001787,Ramesh Agarwal,Nagpur,BSNL,Mobile,0
+918264916011,Suresh Reddy,Coimbatore,Vodafone Idea,Mobile,0
+916270230301,Geeta Saxena,Jaipur,Jio,Mobile,0
+917017964944,Swati Iyer,Ahmedabad,Jio,Mobile,0
+917734061522,Nitin Mehta,Lucknow,Jio,Mobile,0
+917876074152,Anjali Singh,Pune,BSNL,Mobile,0
+917869436228,Ramesh Agarwal 1,Jaipur,Vodafone Idea,Mobile,0
+918716411078,Swati Iyer,Mumbai,Vodafone Idea,Mobile,0
+918316738567,Karthik Iyer,Coimbatore,BSNL,Mobile,0
+917333837771,Anita Mehta,Kolkata,Jio,Mobile,0
+918419821053,Raj Patel,Delhi,Airtel,Mobile,0
+919315901554,Ajay Chauhan,Vadodara,Jio,Mobile,0
+917011991789,Divya Nair 41,Vadodara,BSNL,Mobile,0
+916898965070,Anita Mehta,Chennai,Vodafone Idea,Mobile,0
+918671362983,Amit Kumar 20,Jaipur,Jio,Mobile,0
+918280622046,Lakshmi Thakur,Pune,Airtel,Mobile,0
+916263785589,Pooja Reddy,Mysore,BSNL,Mobile,0
+916794555183,Geeta Saxena 2,Mysore,BSNL,Mobile,0
+919355555511,Anita Mehta,Ahmedabad,Vodafone Idea,Mobile,0
+916728569848,Sunil Menon 22,Chandigarh,Airtel,Mobile,0
+916982840605,Kavita Gupta,Mumbai,Vodafone Idea,Mobile,0
+918915114866,Sunita Chauhan,Kochi,BSNL,Mobile,0
+916690063996,Geeta Saxena 38,Hyderabad,Airtel,Mobile,0
+918762876582,Sneha Verma,Vizag,Jio,Mobile,0
+917487192460,Rohit Mishra 57,Indore,Vodafone Idea,Mobile,0
+919753417748,Naveen Saxena,Mysore,Vodafone Idea,Mobile,0
+918494873512,Ajay Chauhan,Kochi,Vodafone Idea,Mobile,0
+916586426792,Meera Joshi,Mumbai,Vodafone Idea,Mobile,0
+916630604625,Sunita Chauhan,Surat,Jio,Mobile,0
+918347721257,Nitin Mehta,Kochi,BSNL,Mobile,0
+917280528889,Padma Das 17,Mysore,Jio,Mobile,0
+917293830333,Rahul Sharma,Indore,Vodafone Idea,Mobile,0
+916533250643,Geeta Saxena,Jaipur,BSNL,Mobile,0
+918593582244,Neha Patel,Lucknow,Jio,Mobile,0
+916060369227,Rashmi Yadav,Ahmedabad,Airtel,Mobile,0
+918215739653,Ajay Chauhan,Lucknow,Jio,Mobile,0
+919670923081,Anjali Singh 45,Vizag,Airtel,Mobile,0
+918397482783,Manoj Gupta,Bangalore,Jio,Mobile,0
+917875497379,Gaurav Thakur,Bangalore,BSNL,Mobile,0
+919850769664,Nitin Mehta 10,Bangalore,Vodafone Idea,Mobile,0
+919158520300,Vinod Pandey,Kochi,BSNL,Mobile,0
+917447828765,Sunil Menon,Pune,BSNL,Mobile,0
+917897898279,Ajay Chauhan,Mumbai,Airtel,Mobile,0
+916848769761,Naveen Saxena,Jaipur,BSNL,Mobile,0
+918339328054,Nitin Mehta,Vadodara,Jio,Mobile,0
+918344487264,Sanjay Joshi,Lucknow,Airtel,Mobile,0
+916557066488,Harish Bhat,Chennai,Jio,Mobile,0
+919073601263,Harish Bhat,Mumbai,Vodafone Idea,Mobile,0
+918670488077,Harish Bhat,Nagpur,Vodafone Idea,Mobile,0
+916646635297,Uma Menon 21,Kochi,Jio,Mobile,0
+916185945425,Rahul Sharma 40,Delhi,BSNL,Mobile,0
+917688602853,Rekha Mishra,Coimbatore,Jio,Mobile,0
+916568375608,Geeta Saxena,Vadodara,Airtel,Mobile,0
+918840324497,Shalini Bhat,Mysore,Vodafone Idea,Mobile,0
+916611603256,Rahul Sharma,Vizag,Airtel,Mobile,0
+917638906095,Neha Patel,Ahmedabad,BSNL,Mobile,0
+917665148746,Lakshmi Thakur,Mumbai,BSNL,Mobile,0
+916556788240,Meera Joshi,Nagpur,BSNL,Mobile,0
+918935289259,Vikram Singh,Indore,BSNL,Mobile,0
+917759895927,Lakshmi Thakur 93,Delhi,Jio,Mobile,0
+918284820673,Ramesh Agarwal,Bhopal,Jio,Mobile,0
+916312424337,Lakshmi Thakur,Chennai,BSNL,Mobile,0
+918171835754,Sanjay Joshi,Chandigarh,Vodafone Idea,Mobile,0
+917366410900,Geeta Saxena 20,Jaipur,Vodafone Idea,Mobile,0
+918048159670,Nandini Agarwal,Ahmedabad,Jio,Mobile,0
+919813893322,Meera Joshi 17,Indore,BSNL,Mobile,0
+917345288461,Radha Pandey,Lucknow,Airtel,Mobile,0
+916665451572,Naveen Saxena,Mumbai,BSNL,Mobile,0
+918857855727,Ajay Chauhan,Nagpur,Vodafone Idea,Mobile,0
+918815639312,Naveen Saxena 55,Surat,BSNL,Mobile,0
+919693594550,Harish Bhat 91,Chennai,Airtel,Mobile,0
+918070052754,Anita Mehta,Chennai,BSNL,Mobile,0
+917473760898,Rahul Sharma 45,Bhopal,Airtel,Mobile,0
+918228057277,Sunil Menon,Chandigarh,Vodafone Idea,Mobile,0
+918397233870,Rashmi Yadav,Mumbai,Airtel,Mobile,0
+916978228623,Geeta Saxena,Hyderabad,Airtel,Mobile,0
+919799618836,Rekha Mishra,Vadodara,Jio,Mobile,0
+918240064099,Pradeep Yadav,Indore,BSNL,Mobile,0
+916519538865,Kavita Gupta,Indore,Jio,Mobile,0
+918645441211,Ajay Chauhan,Vadodara,Airtel,Mobile,0
+919415344397,Anjali Singh,Chandigarh,Jio,Mobile,0
+917448997910,Ajay Chauhan 2,Coimbatore,Vodafone Idea,Mobile,0
+916088230414,Neha Patel,Chennai,BSNL,Mobile,0
+919014151574,Padma Das,Surat,BSNL,Mobile,0
+916670246977,Rashmi Yadav,Chandigarh,BSNL,Mobile,0
+916189231061,Anita Mehta,Chandigarh,Vodafone Idea,Mobile,0
+916827838812,Amit Kumar,Bhopal,Airtel,Mobile,0
+919714924166,Naveen Saxena,Vadodara,Jio,Mobile,0
+916656489612,Geeta Saxena,Pune,Vodafone Idea,Mobile,0
+917786367553,Pooja Reddy,Mysore,Jio,Mobile,0
+918260913870,Deepak Verma,Mumbai,Jio,Mobile,0
+919771930004,Lakshmi Thakur,Jaipur,BSNL,Mobile,0
+916142916155,Rashmi Yadav,Pune,Airtel,Mobile,0
+917542657497,Sneha Verma 7,Ahmedabad,BSNL,Mobile,0
+916978294383,Naveen Saxena 12,Chandigarh,Vodafone Idea,Mobile,0
+919683194833,Sunil Menon,Jaipur,Jio,Mobile,0
+916955225577,Nandini Agarwal,Bangalore,BSNL,Mobile,0
+918785338381,Lakshmi Thakur,Nagpur,Jio,Mobile,0
+919711149935,Rashmi Yadav,Kochi,Vodafone Idea,Mobile,0
+919827354385,Rashmi Yadav,Surat,BSNL,Mobile,0
+919371700241,Rahul Sharma 3,Coimbatore,Vodafone Idea,Mobile,0
+917222128290,Arun Nair 9,Pune,Vodafone Idea,Mobile,0
+917115835943,Divya Nair,Surat,Airtel,Mobile,0
+918082423863,Rashmi Yadav,Lucknow,Vodafone Idea,Mobile,0
+919897314297,Swati Iyer,Ahmedabad,BSNL,Mobile,0
+917168028447,Padma Das,Kolkata,Jio,Mobile,0
+918094106084,Pooja Reddy,Kochi,Airtel,Mobile,0
+916737268625,Kavita Gupta,Surat,Vodafone Idea,Mobile,0
+918158206650,Karthik Iyer,Delhi,Jio,Mobile,0
+917862649380,Nandini Agarwal,Chennai,Airtel,Mobile,0
+916513019906,Anjali Singh 27,Vadodara,Jio,Mobile,0
+917214174473,Radha Pandey 74,Kolkata,Jio,Mobile,0
+918861799076,Meera Joshi,Ahmedabad,Airtel,Mobile,0
+919491363956,Meera Joshi,Jaipur,Vodafone Idea,Mobile,0
+919489126218,Swati Iyer,Ahmedabad,Airtel,Mobile,0
+917618326180,Swati Iyer,Indore,Vodafone Idea,Mobile,0
+919115608778,Padma Das 2,Chandigarh,Jio,Mobile,0
+917593831148,Deepak Verma,Delhi,Airtel,Mobile,0
+918632509552,Rahul Sharma,Chennai,Airtel,Mobile,0
+916355693304,Geeta Saxena,Kochi,Jio,Mobile,0
+917384828411,Rekha Mishra,Indore,BSNL,Mobile,0
+917480701006,Manoj Gupta,Indore,BSNL,Mobile,0
+918264759397,Padma Das,Surat,Vodafone Idea,Mobile,0
+919648401112,Harish Bhat 30,Vizag,Airtel,Mobile,0
+917590094171,Deepak Verma 80,Bangalore,Jio,Mobile,0
+917382334457,Neha Patel,Bangalore,Vodafone Idea,Mobile,0
+917998280710,Amit Kumar 87,Kolkata,Airtel,Mobile,0
+916241569927,Rashmi Yadav 17,Indore,BSNL,Mobile,0
+917511841025,Rashmi Yadav,Bhopal,Vodafone Idea,Mobile,0
+918944392078,Raj Patel,Kochi,Airtel,Mobile,0
+918690825559,Divya Nair,Chandigarh,BSNL,Mobile,0
+916557839183,Vikram Singh,Lucknow,BSNL,Mobile,0
+917967936489,Vinod Pandey,Chandigarh,BSNL,Mobile,0
+916080259838,Karthik Iyer,Bhopal,Jio,Mobile,0
+916830109683,Rekha Mishra,Indore,Airtel,Mobile,0
+917753517165,Pooja Reddy,Pune,Jio,Mobile,0
+918839974798,Rohit Mishra 78,Chandigarh,Airtel,Mobile,0
+916370552213,Rahul Sharma,Lucknow,BSNL,Mobile,0
+916990218087,Rahul Sharma,Bangalore,BSNL,Mobile,0
+919320657244,Neha Patel 33,Mumbai,Vodafone Idea,Mobile,0
+916729166586,Deepak Verma,Mumbai,Vodafone Idea,Mobile,0
+919336998719,Swati Iyer,Jaipur,BSNL,Mobile,0
+917730876399,Pooja Reddy,Pune,BSNL,Mobile,0
+918233320826,Harish Bhat,Pune,BSNL,Mobile,0
+916711288572,Gaurav Thakur,Nagpur,BSNL,Mobile,0
+916376270192,Nandini Agarwal,Mumbai,BSNL,Mobile,0
+916262367629,Rekha Mishra 50,Pune,BSNL,Mobile,0
+919450571839,Ajay Chauhan,Kochi,Airtel,Mobile,0
+917726834011,Karthik Iyer,Vizag,Vodafone Idea,Mobile,0
+917955502772,Karthik Iyer,Kochi,Vodafone Idea,Mobile,0
+917143672379,Suresh Reddy 70,Vadodara,Vodafone Idea,Mobile,0
+918788834346,Priya Sharma,Vadodara,Jio,Mobile,0
+918696100181,Meera Joshi,Coimbatore,Vodafone Idea,Mobile,0
+917629558682,Shalini Bhat,Ahmedabad,Vodafone Idea,Mobile,0
+916282097232,Arun Nair,Mysore,BSNL,Mobile,0
+919863491557,Padma Das 75,Pune,Vodafone Idea,Mobile,0
+918420070413,Vikram Singh,Surat,Airtel,Mobile,0
+919333982568,Vinod Pandey,Coimbatore,BSNL,Mobile,0
+917954577009,Harish Bhat,Hyderabad,BSNL,Mobile,0
+918872860981,Vinod Pandey 20,Vizag,Vodafone Idea,Mobile,0
+919427514396,Sneha Verma,Mysore,Vodafone Idea,Mobile,0
+917166467511,Meera Joshi,Lucknow,Vodafone Idea,Mobile,0
+919414447761,Pooja Reddy 96,Vadodara,Jio,Mobile,0
+917414072552,Divya Nair,Ahmedabad,Airtel,Mobile,0
+919826950076,Shalini Bhat,Vadodara,Vodafone Idea,Mobile,0
+917951323734,Suresh Reddy 69,Chennai,Vodafone Idea,Mobile,0
+916673277883,Manoj Gupta 99,Ahmedabad,BSNL,Mobile,0
+919534939756,Lakshmi Thakur 27,Ahmedabad,Jio,Mobile,0
+918658675183,Rahul Sharma 86,Surat,Vodafone Idea,Mobile,0
+919161589126,Vikram Singh 40,Ahmedabad,Airtel,Mobile,0
+916124862123,Sneha Verma 87,Surat,BSNL,Mobile,0
+917090083954,Naveen Saxena,Nagpur,Vodafone Idea,Mobile,0
+916977335482,Rahul Sharma,Nagpur,Airtel,Mobile,0
+917424778456,Nandini Agarwal 79,Jaipur,Airtel,Mobile,0
+918223301490,Karthik Iyer,Hyderabad,Airtel,Mobile,0
+918935264833,Ramesh Agarwal,Nagpur,BSNL,Mobile,0
+917975322269,Suresh Reddy,Ahmedabad,Airtel,Mobile,0
+916178284428,Karthik Iyer 82,Coimbatore,BSNL,Mobile,0
+919477410948,Suresh Reddy,Nagpur,BSNL,Mobile,0
+917789365826,Uma Menon 97,Jaipur,BSNL,Mobile,0
+919848493398,Radha Pandey,Mysore,BSNL,Mobile,0
+917636236521,Rashmi Yadav,Bhopal,Jio,Mobile,0
+917019150926,Priya Sharma 93,Delhi,BSNL,Mobile,0
+917329022806,Geeta Saxena 99,Nagpur,Vodafone Idea,Mobile,0
+918863084300,Uma Menon 84,Pune,BSNL,Mobile,0
+918497266816,Sanjay Joshi,Kochi,Vodafone Idea,Mobile,0
+916113206948,Naveen Saxena,Nagpur,Jio,Mobile,0
+919645585576,Ajay Chauhan,Hyderabad,Vodafone Idea,Mobile,0
+919618698306,Anjali Singh,Bhopal,Jio,Mobile,0
+918412722952,Manoj Gupta,Pune,Vodafone Idea,Mobile,0
+918435401769,Vinod Pandey,Kolkata,Jio,Mobile,0
+916217398428,Pooja Reddy,Indore,Vodafone Idea,Mobile,0
+916085935000,Uma Menon,Nagpur,Jio,Mobile,0
+918372525789,Kavita Gupta,Kochi,Vodafone Idea,Mobile,0
+918666198656,Geeta Saxena,Chandigarh,Airtel,Mobile,0
+919887755267,Vikram Singh 46,Mumbai,Vodafone Idea,Mobile,0
+919769052042,Arun Nair 29,Ahmedabad,Airtel,Mobile,0
+917171030631,Harish Bhat,Mumbai,BSNL,Mobile,0
+917289027148,Deepak Verma 20,Mysore,BSNL,Mobile,0
+917795430711,Kavita Gupta,Indore,Vodafone Idea,Mobile,0
+917557735823,Divya Nair,Surat,Airtel,Mobile,0
+918972116190,Pradeep Yadav,Surat,BSNL,Mobile,0
+916618915148,Priya Sharma,Mysore,Jio,Mobile,0
+918279188516,Rahul Sharma,Kochi,BSNL,Mobile,0
+918675589140,Shalini Bhat 98,Jaipur,Vodafone Idea,Mobile,0
+919420741393,Swati Iyer,Pune,Airtel,Mobile,0
+916128898866,Swati Iyer,Ahmedabad,Vodafone Idea,Mobile,0
+919828257296,Padma Das 74,Indore,Vodafone Idea,Mobile,0
+916058284266,Pooja Reddy,Jaipur,BSNL,Mobile,0
+919655267948,Naveen Saxena 69,Jaipur,Airtel,Mobile,0
+917181400500,Karthik Iyer,Pune,Airtel,Mobile,0
+918851700082,Vinod Pandey,Lucknow,Vodafone Idea,Mobile,0
+916824624112,Rashmi Yadav 36,Chennai,Airtel,Mobile,0
+917713187834,Rekha Mishra,Surat,Airtel,Mobile,0
+918944847603,Geeta Saxena,Ahmedabad,Airtel,Mobile,0
+917990380267,Neha Patel,Mysore,BSNL,Mobile,0
+918395744313,Deepak Verma 46,Indore,BSNL,Mobile,0
+918489458215,Rashmi Yadav 96,Lucknow,BSNL,Mobile,0
+917579600422,Geeta Saxena,Delhi,Vodafone Idea,Mobile,0
+919512032652,Uma Menon,Ahmedabad,Vodafone Idea,Mobile,0
+917857414721,Rahul Sharma,Vadodara,BSNL,Mobile,0
+917720976209,Arun Nair,Ahmedabad,BSNL,Mobile,0
+916354442971,Radha Pandey,Mysore,Vodafone Idea,Mobile,0
+919840278893,Vikram Singh,Kochi,Vodafone Idea,Mobile,0
+917165659455,Radha Pandey,Indore,Vodafone Idea,Mobile,0
+917614669597,Raj Patel,Mysore,Airtel,Mobile,0
+917376275723,Nandini Agarwal,Mumbai,Vodafone Idea,Mobile,0
+916160010701,Manoj Gupta,Surat,Airtel,Mobile,0
+918822271158,Padma Das,Bangalore,Jio,Mobile,0
+916084113676,Karthik Iyer 9,Chandigarh,BSNL,Mobile,0
+919157932819,Karthik Iyer,Kochi,Airtel,Mobile,0
+916942626281,Amit Kumar,Chennai,Airtel,Mobile,0
+916635537442,Naveen Saxena 16,Vizag,Jio,Mobile,0
+917584124546,Rahul Sharma,Pune,BSNL,Mobile,0
+919489662571,Suresh Reddy,Surat,Jio,Mobile,0
+919848196201,Sneha Verma 83,Hyderabad,Vodafone Idea,Mobile,0
+918432203028,Geeta Saxena,Bangalore,Jio,Mobile,0
+917430518445,Vinod Pandey 63,Vadodara,Jio,Mobile,0
+918164648430,Padma Das,Jaipur,BSNL,Mobile,0
+917644067207,Kavita Gupta 64,Nagpur,BSNL,Mobile,0
+918674645168,Vikram Singh 17,Vadodara,Jio,Mobile,0
+919459266689,Anita Mehta,Mumbai,Airtel,Mobile,0
+918052318112,Karthik Iyer,Surat,Airtel,Mobile,0
+916260523281,Manoj Gupta 18,Kochi,Vodafone Idea,Mobile,0
+918729532224,Ramesh Agarwal,Hyderabad,BSNL,Mobile,0
+918043884243,Sunita Chauhan 50,Surat,BSNL,Mobile,0
+916527965213,Sanjay Joshi 70,Chennai,Jio,Mobile,0
+918815784563,Anjali Singh,Bhopal,Vodafone Idea,Mobile,0
+919541972783,Amit Kumar,Mumbai,Vodafone Idea,Mobile,0
+918160696691,Ajay Chauhan,Ahmedabad,Airtel,Mobile,0
+918640116728,Pooja Reddy 65,Nagpur,BSNL,Mobile,0
+919134739832,Sanjay Joshi,Coimbatore,BSNL,Mobile,0
+916077420099,Manoj Gupta 93,Surat,Vodafone Idea,Mobile,0
+918456806756,Padma Das,Mumbai,Vodafone Idea,Mobile,0
+919558205958,Pradeep Yadav 33,Jaipur,BSNL,Mobile,0
+919033308673,Pradeep Yadav,Bangalore,BSNL,Mobile,0
+916162648645,Amit Kumar,Mumbai,BSNL,Mobile,0
+917547251159,Radha Pandey,Bangalore,Vodafone Idea,Mobile,0
+918444327146,Raj Patel,Coimbatore,Airtel,Mobile,0
+916828544460,Uma Menon,Vadodara,Airtel,Mobile,0
+919791336496,Arun Nair,Chennai,Vodafone Idea,Mobile,0
+917843697421,Swati Iyer,Kolkata,Vodafone Idea,Mobile,0
+919888111101,Radha Pandey,Kolkata,Jio,Mobile,0
+917997276907,Rekha Mishra,Bangalore,Jio,Mobile,0
+917272944052,Padma Das,Delhi,BSNL,Mobile,0
+918399244255,Divya Nair,Hyderabad,Vodafone Idea,Mobile,0
+917852265823,Suresh Reddy,Indore,Vodafone Idea,Mobile,0
+917456258028,Pradeep Yadav,Lucknow,Airtel,Mobile,0
+918623606725,Arun Nair,Indore,Airtel,Mobile,0
+918570451498,Sunil Menon,Hyderabad,Jio,Mobile,0
+916957248096,Rekha Mishra,Mumbai,Airtel,Mobile,0
+918021299632,Sunita Chauhan,Bangalore,BSNL,Mobile,0
+918277267272,Neha Patel,Hyderabad,Airtel,Mobile,0
+916115619891,Padma Das,Hyderabad,Vodafone Idea,Mobile,0
+918144384886,Deepak Verma 29,Kolkata,Airtel,Mobile,0
+918747641284,Rekha Mishra,Hyderabad,BSNL,Mobile,0
+919789581297,Radha Pandey,Pune,BSNL,Mobile,0
+917896796556,Divya Nair 24,Kolkata,Jio,Mobile,0
+917950543109,Anjali Singh,Surat,BSNL,Mobile,0
+918036954168,Anjali Singh,Mumbai,BSNL,Mobile,0
+918992736588,Nitin Mehta,Bhopal,Jio,Mobile,0
+918776003144,Uma Menon 26,Vizag,Airtel,Mobile,0
+919894818509,Meera Joshi 7,Vizag,Jio,Mobile,0
+919796221015,Amit Kumar 59,Bhopal,Jio,Mobile,0
+916186812067,Pooja Reddy,Mysore,Jio,Mobile,0
+917160431330,Raj Patel,Lucknow,Jio,Mobile,0
+918278051385,Ramesh Agarwal 36,Lucknow,BSNL,Mobile,0
+916247502090,Rekha Mishra,Indore,BSNL,Mobile,0
+916793708084,Rohit Mishra 45,Bangalore,Jio,Mobile,0
+919688872367,Amit Kumar 46,Chandigarh,Vodafone Idea,Mobile,0
+918081080870,Nandini Agarwal 72,Chandigarh,Jio,Mobile,0
+916675027744,Nitin Mehta,Indore,Jio,Mobile,0
+917450082951,Suresh Reddy,Bhopal,Jio,Mobile,0
+916763544317,Rohit Mishra,Indore,Jio,Mobile,0
+917657529194,Nandini Agarwal,Lucknow,Vodafone Idea,Mobile,0
+916375900594,Ramesh Agarwal 66,Nagpur,Vodafone Idea,Mobile,0
+918363531186,Karthik Iyer 19,Delhi,BSNL,Mobile,0
+919395191216,Rohit Mishra 35,Kochi,Airtel,Mobile,0
+919766943485,Geeta Saxena,Delhi,Airtel,Mobile,0
+917235280183,Rekha Mishra,Ahmedabad,Jio,Mobile,0
+919810598337,Sneha Verma,Vizag,Airtel,Mobile,0
+919166471968,Neha Patel,Surat,Jio,Mobile,0
+918226058562,Harish Bhat,Mumbai,Jio,Mobile,0
+918295747426,Rohit Mishra 69,Mysore,Airtel,Mobile,0
+918949575850,Lakshmi Thakur 72,Bangalore,BSNL,Mobile,0
+916036707882,Radha Pandey,Bangalore,Airtel,Mobile,0
+919642186197,Meera Joshi,Vizag,BSNL,Mobile,0
+917425616282,Radha Pandey,Chennai,Jio,Mobile,0
+919593664693,Pradeep Yadav,Chandigarh,Vodafone Idea,Mobile,0
+917387935587,Rahul Sharma 69,Delhi,BSNL,Mobile,0
+919557471841,Anita Mehta 85,Pune,Vodafone Idea,Mobile,0
+919181944558,Anita Mehta,Chennai,BSNL,Mobile,0
+916248062307,Harish Bhat,Chennai,Vodafone Idea,Mobile,0
+918493531063,Naveen Saxena,Jaipur,Vodafone Idea,Mobile,0
+919199530375,Shalini Bhat,Kochi,Vodafone Idea,Mobile,0
+919625899141,Sunita Chauhan,Chennai,Jio,Mobile,0
+919452310334,Anjali Singh 68,Kochi,BSNL,Mobile,0
+919317074606,Ajay Chauhan,Indore,Airtel,Mobile,0
+916022312316,Raj Patel,Jaipur,Airtel,Mobile,0
+919761628926,Uma Menon 77,Hyderabad,Vodafone Idea,Mobile,0
+916031637902,Divya Nair,Mysore,BSNL,Mobile,0
+916257946977,Naveen Saxena 85,Mysore,Vodafone Idea,Mobile,0
+916641129186,Nitin Mehta,Hyderabad,Vodafone Idea,Mobile,0
+916138759645,Uma Menon 61,Vadodara,BSNL,Mobile,0
+918262918949,Rashmi Yadav,Kochi,BSNL,Mobile,0
+918019041651,Geeta Saxena,Hyderabad,Vodafone Idea,Mobile,0
+916774864635,Deepak Verma 92,Coimbatore,Vodafone Idea,Mobile,0
+918699892588,Rekha Mishra,Kolkata,BSNL,Mobile,0
+919070632121,Suresh Reddy,Bangalore,Jio,Mobile,0
+916351441465,Pradeep Yadav,Bhopal,Vodafone Idea,Mobile,0
+918462287180,Ajay Chauhan 20,Indore,Vodafone Idea,Mobile,0
+918529342679,Lakshmi Thakur 2,Chennai,Vodafone Idea,Mobile,0
+917362297882,Rekha Mishra 6,Bhopal,BSNL,Mobile,0
+918929198711,Gaurav Thakur 2,Kochi,Jio,Mobile,0
+919652263434,Priya Sharma,Kolkata,BSNL,Mobile,0
+919485145854,Vinod Pandey,Kolkata,Airtel,Mobile,0
+918197908988,Sneha Verma,Kochi,Airtel,Mobile,0
+917268031498,Rahul Sharma,Vizag,Vodafone Idea,Mobile,0
+918829091049,Harish Bhat,Kolkata,Airtel,Mobile,0
+918729499803,Pradeep Yadav 63,Pune,Vodafone Idea,Mobile,0
+916867782034,Nitin Mehta,Ahmedabad,BSNL,Mobile,0
+916063607264,Vikram Singh,Hyderabad,Airtel,Mobile,0
+918275498160,Sunita Chauhan,Mumbai,Airtel,Mobile,0
+916839129085,Rashmi Yadav,Bhopal,Vodafone Idea,Mobile,0
+917341761864,Rahul Sharma,Vizag,Airtel,Mobile,0
+919360949789,Harish Bhat,Delhi,BSNL,Mobile,0
+918594690006,Pooja Reddy,Pune,Jio,Mobile,0
+919789367003,Padma Das 48,Vadodara,Airtel,Mobile,0
+917758976163,Swati Iyer,Jaipur,BSNL,Mobile,0
+919386109247,Rekha Mishra 56,Indore,Vodafone Idea,Mobile,0
+917567894865,Sunita Chauhan 49,Nagpur,Jio,Mobile,0
+917152635927,Geeta Saxena,Lucknow,Vodafone Idea,Mobile,0
+918268920047,Rohit Mishra,Lucknow,Vodafone Idea,Mobile,0
+916596291583,Kavita Gupta 66,Mysore,Airtel,Mobile,0
+918768993875,Pradeep Yadav,Jaipur,Vodafone Idea,Mobile,0
+918897751608,Sneha Verma,Hyderabad,Jio,Mobile,0
+918245358336,Raj Patel,Mysore,BSNL,Mobile,0
+916856084233,Deepak Verma 91,Bhopal,Vodafone Idea,Mobile,0
+917818941064,Harish Bhat,Chandigarh,BSNL,Mobile,0
+918833706421,Nitin Mehta,Kolkata,Airtel,Mobile,0
+919824206268,Lakshmi Thakur 21,Vadodara,BSNL,Mobile,0
+917910948299,Deepak Verma,Lucknow,Vodafone Idea,Mobile,0
+917684273821,Uma Menon,Coimbatore,Airtel,Mobile,0
+917627304381,Rahul Sharma 58,Surat,Vodafone Idea,Mobile,0
+917722762491,Pooja Reddy 87,Chandigarh,BSNL,Mobile,0
+916883432141,Vikram Singh 1,Chennai,BSNL,Mobile,0
+918128333361,Kavita Gupta,Delhi,BSNL,Mobile,0
+918264820542,Priya Sharma,Ahmedabad,Airtel,Mobile,0
+918320748772,Uma Menon 8,Bhopal,Airtel,Mobile,0
+918740030086,Suresh Reddy,Delhi,Airtel,Mobile,0
+918982810806,Arun Nair 12,Lucknow,Jio,Mobile,0
+916352181523,Vikram Singh 21,Bangalore,Jio,Mobile,0
+918010798690,Rohit Mishra,Jaipur,Vodafone Idea,Mobile,0
+918113589659,Divya Nair 93,Nagpur,Vodafone Idea,Mobile,0
+917484304019,Meera Joshi 32,Jaipur,BSNL,Mobile,0
+916288114811,Nitin Mehta,Coimbatore,Airtel,Mobile,0
+917285021192,Divya Nair 71,Mysore,Jio,Mobile,0
+916238561296,Ajay Chauhan 21,Delhi,Airtel,Mobile,0
+917910000524,Sanjay Joshi,Vizag,Airtel,Mobile,0
+917766357984,Nandini Agarwal 99,Bangalore,Jio,Mobile,0
